,Airline,Source,Destination,Duration,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute
0,IndiGo,Banglore,New Delhi,170,0.0,3897,24,3,22,20,1,10
1,Air India,Kolkata,Banglore,445,2.0,7662,1,5,5,50,13,15
2,Jet Airways,Delhi,Cochin,1140,2.0,13882,9,6,9,25,4,25
3,IndiGo,Kolkata,Banglore,325,1.0,6218,12,5,18,5,23,30
4,IndiGo,Banglore,New Delhi,285,1.0,13302,1,3,16,50,21,35
5,SpiceJet,Kolkata,Banglore,145,0.0,3873,24,6,9,0,11,25
6,Jet Airways,Banglore,New Delhi,930,1.0,11087,12,3,18,55,10,25
7,Jet Airways,Banglore,New Delhi,1265,1.0,22270,1,3,8,0,5,5
8,Jet Airways,Banglore,New Delhi,1530,1.0,11087,12,3,8,55,10,25
9,Multiple carriers,Delhi,Cochin,470,1.0,8625,27,5,11,25,19,15
10,Air India,Delhi,Cochin,795,1.0,8907,1,6,9,45,23,0
11,IndiGo,Kolkata,Banglore,155,0.0,4174,18,4,20,20,22,55
12,Air India,Chennai,Kolkata,135,0.0,4667,24,6,11,40,13,55
13,Jet Airways,Kolkata,Banglore,730,1.0,9663,9,5,21,10,9,20
14,IndiGo,Kolkata,Banglore,155,0.0,4804,24,4,17,15,19,50
15,Air India,Delhi,Cochin,1595,2.0,14011,3,3,16,40,19,15
16,SpiceJet,Delhi,Cochin,270,1.0,5830,15,4,8,45,13,15
17,Jet Airways,Delhi,Cochin,1355,1.0,10262,12,6,14,0,12,35
18,Air India,Delhi,Cochin,1380,2.0,13381,12,6,20,15,19,15
19,Jet Airways,Delhi,Cochin,1235,1.0,12898,27,5,16,0,12,35
20,GoAir,Delhi,Cochin,310,1.0,19495,6,3,14,10,19,20
21,Air India,Banglore,New Delhi,920,1.0,6955,21,3,22,0,13,20
22,IndiGo,Banglore,Delhi,170,0.0,3943,3,4,4,0,6,50
23,IndiGo,Banglore,Delhi,175,0.0,4823,1,5,18,55,21,50
24,Jet Airways,Kolkata,Banglore,800,1.0,7757,6,5,18,55,8,15
25,Jet Airways,Delhi,Cochin,910,2.0,13292,9,6,21,25,12,35
26,IndiGo,Delhi,Cochin,345,1.0,8238,1,6,21,50,3,35
27,GoAir,Delhi,Cochin,355,1.0,7682,15,5,7,0,12,55
28,Vistara,Banglore,Delhi,170,0.0,4668,18,6,9,45,12,35
29,Vistara,Chennai,Kolkata,135,0.0,3687,15,6,7,5,9,20
30,Vistara,Chennai,Kolkata,135,0.0,3687,18,6,7,5,9,20
31,Air India,Kolkata,Banglore,805,2.0,13227,1,5,9,50,23,15
32,IndiGo,Banglore,Delhi,170,0.0,4423,6,4,4,0,6,50
33,Jet Airways,Delhi,Cochin,1320,2.0,10919,15,6,14,35,12,35
34,Jet Airways,Delhi,Cochin,330,1.0,12373,18,5,7,5,12,35
35,IndiGo,Delhi,Cochin,625,1.0,5894,27,6,10,35,21,0
36,SpiceJet,Kolkata,Banglore,315,1.0,4649,21,5,15,5,20,20
37,Air India,Kolkata,Banglore,150,0.0,6245,18,5,14,15,16,45
38,Jet Airways,Banglore,New Delhi,375,1.0,19225,6,3,7,0,13,15
39,Jet Airways,Delhi,Cochin,715,1.0,14924,3,6,7,5,19,0
40,Multiple carriers,Delhi,Cochin,665,1.0,9646,21,5,7,5,18,10
41,Air India,Banglore,New Delhi,510,1.0,8714,15,3,6,45,15,15
42,Jet Airways,Delhi,Cochin,1325,1.0,12373,18,5,20,55,19,0
43,Air Asia,Banglore,Delhi,165,0.0,3383,6,5,11,10,13,55
44,Multiple carriers,Delhi,Cochin,720,1.0,13062,21,3,9,0,21,0
