,Duration,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,170,0.0,3897,24,3,22,20,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,445,2.0,7662,1,5,5,50,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1140,2.0,13882,9,6,9,25,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,325,1.0,6218,12,5,18,5,23,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,285,1.0,13302,1,3,16,50,21,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,145,0.0,3873,24,6,9,0,11,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,930,1.0,11087,12,3,18,55,10,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1265,1.0,22270,1,3,8,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1530,1.0,11087,12,3,8,55,10,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,470,1.0,8625,27,5,11,25,19,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,795,1.0,8907,1,6,9,45,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,155,0.0,4174,18,4,20,20,22,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,135,0.0,4667,24,6,11,40,13,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13,730,1.0,9663,9,5,21,10,9,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,155,0.0,4804,24,4,17,15,19,50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1595,2.0,14011,3,3,16,40,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,270,1.0,5830,15,4,8,45,13,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
17,1355,1.0,10262,12,6,14,0,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,1380,2.0,13381,12,6,20,15,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,1235,1.0,12898,27,5,16,0,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,310,1.0,19495,6,3,14,10,19,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,920,1.0,6955,21,3,22,0,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,170,0.0,3943,3,4,4,0,6,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,175,0.0,4823,1,5,18,55,21,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,800,1.0,7757,6,5,18,55,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,910,2.0,13292,9,6,21,25,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,345,1.0,8238,1,6,21,50,3,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
27,355,1.0,7682,15,5,7,0,12,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,170,0.0,4668,18,6,9,45,12,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29,135,0.0,3687,15,6,7,5,9,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
30,135,0.0,3687,18,6,7,5,9,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,805,2.0,13227,1,5,9,50,23,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,170,0.0,4423,6,4,4,0,6,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1320,2.0,10919,15,6,14,35,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,330,1.0,12373,18,5,7,5,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,625,1.0,5894,27,6,10,35,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,315,1.0,4649,21,5,15,5,20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,150,0.0,6245,18,5,14,15,16,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,375,1.0,19225,6,3,7,0,13,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,715,1.0,14924,3,6,7,5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40,665,1.0,9646,21,5,7,5,18,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,510,1.0,8714,15,3,6,45,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1325,1.0,12373,18,5,20,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,165,0.0,3383,6,5,11,10,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,720,1.0,13062,21,3,9,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,170,0.0,3527,24,3,5,45,8,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
46,170,0.0,3943,27,5,4,0,6,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,135,0.0,4667,3,5,11,40,13,55,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
48,965,1.0,6117,15,5,19,0,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,1195,2.0,11150,27,6,23,5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50,195,0.0,7202,9,3,11,0,14,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
51,1520,1.0,12121,1,5,9,35,10,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,170,0.0,4377,24,3,22,20,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,180,0.0,3943,18,6,21,15,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,170,0.0,4483,3,4,23,55,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,975,1.0,14231,24,3,19,45,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,905,2.0,17345,1,3,8,50,23,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,135,0.0,7414,6,3,7,5,9,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
58,390,1.0,8073,6,5,19,0,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,1505,1.0,12395,6,3,15,40,16,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
60,745,1.0,8366,6,6,9,25,21,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,1640,1.0,5117,3,4,6,5,9,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
62,615,1.0,12524,3,6,8,45,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
63,630,1.0,7191,15,5,15,0,1,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
